"pattern","path","line","text"
"spawn\s*\(","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","63","const ffmpegProcess = spawn(ffmpegInstaller.path, ["
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","92","logger.info(`✓ FFmpeg process completed with code ${code}`);"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","94","logger.error(`✗ FFmpeg process failed with code ${code}`);"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","105","logger.error(`✗ FFmpeg process error: ${err.message}`);"
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","124","// 5. Check with ffprobe"
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","125","logger.info('\n[FFPROBE CHECK]');"
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","128","logger.info(`Running: ffprobe -v error -show_entries format=duration,bit_rate,size -of default=noprint_wrappers=1:nokey=1 ""${testMp4}""`);"
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","131","logger.info(`ffprobe output:\n${lines.join('\n')}`);"
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","141","logger.error(`⚠ ffprobe failed: ${err.message}`);"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\dev-tools\create_test_video.sh","8","ffmpeg -f lavfi -i ""color=c=FF1493:s=1080x1920:d=26"" \"
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\dev-tools\create-valid-v41-videos.js","53","provider: 'kokoro',"
"kokoro","C:\Users\Erik\Desktop\Generador_videos\backend\dev-tools\test-audio-sync.js","236","// Usar sectionDurations del TTS si están disponibles (Kokoro segmentado),"
"spawn\s*\(","C:\Users\Erik\Desktop\Generador_videos\backend\dev-tools\test-final-complete.js","168","? spawn('explorer', [TEST_OUTPUT_DIR], { windowsHide: true, shell: false, stdio: ['ignore', 'pipe', 'pipe'] })"
"spawn\s*\(","C:\Users\Erik\Desktop\Generador_videos\backend\dev-tools\test-final-complete.js","169",": spawn(process.platform === 'darwin' ? 'open' : 'xdg-open', [TEST_OUTPUT_DIR], { windowsHide: true, shell: false, stdio: ['ignore', 'pipe', 'pipe'] });"
